"Lon","Lat","origin"
43.23,-23.83,"no_sperm_whale_sighting"
63.83,-36.06,"no_encounter"
56.88,-22,"no_encounter"
69.18,-0.15,"no_sperm_whale_sighting"
66,-34.83,"no_sperm_whale_sighting"
58.5,-34.88,"no_encounter"
34.76,-27.4,"no_encounter"
60.75,-5.61,"no_sperm_whale_sighting"
43,-9.16,"no_sperm_whale_sighting"
57.46,-20.26,"no_sperm_whale_sighting"
76.15,-37,"no_sperm_whale_sighting"
55.33,-3.91,"no_encounter"
42.95,-1.96,"no_encounter"
40.41,-27.75,"no_sperm_whale_sighting"
56.35,-36.31,"no_sperm_whale_sighting"
73.33,-40,"no_sperm_whale_sighting"
73,-37.33,"no_sperm_whale_sighting"
75.06,-32.53,"no_encounter"
40.76,-16.11,"no_encounter"
56.5,-3.7,"no_sperm_whale_sighting"
83.53,-23.73,"no_sperm_whale_sighting"
66.98,-35.65,"no_encounter"
49.33,13.43,"no_sperm_whale_sighting"
64.33,-33.7,"no_encounter"
49,-5.45,"no_sperm_whale_sighting"
79.5,7.15,"no_sperm_whale_sighting"
43.41,-23.78,"no_sperm_whale_sighting"
78.53,-37.13,"no_encounter"
61.33,-36.61,"no_encounter"
77.4,6.46,"no_encounter"
52.38,-34.65,"no_encounter"
45.05,-9.23,"no_sperm_whale_sighting"
67.68,-33.75,"no_sperm_whale_sighting"
60.33,-37.33,"no_sperm_whale_sighting"
31.96,-37.3,"no_encounter"
30.28,-37.66,"no_sperm_whale_sighting"
75.5,-38,"no_sperm_whale_sighting"
33.48,-27.81,"no_sperm_whale_sighting"
42.36,-24.36,"no_encounter"
73.06,-37.91,"no_encounter"
79.01,-38.43,"no_sperm_whale_sighting"
81.28,-34.18,"no_sperm_whale_sighting"
33.33,-31.56,"no_encounter"
82,-33.33,"no_sperm_whale_sighting"
74.68,-39.35,"no_encounter"
77.36,-35.33,"no_sperm_whale_sighting"
48.83,-10.68,"no_encounter"
30.16,-38.03,"no_sperm_whale_sighting"
45.65,-26.65,"no_sperm_whale_sighting"
41.7,-5.45,"no_sperm_whale_sighting"
44.8,-25.75,"no_sperm_whale_sighting"
53,-36.88,"no_sperm_whale_sighting"
66.5,-35.5,"no_encounter"
62.35,-39.45,"no_sperm_whale_sighting"
67.5,-38.15,"no_sperm_whale_sighting"
41,-15,"no_sperm_whale_sighting"
65.56,-33.5,"no_encounter"
45.2,-14.9,"no_encounter"
32.03,-32.56,"no_encounter"
65.61,-35.51,"no_sperm_whale_sighting"
62.48,5.98,"no_sperm_whale_sighting"
45.83,-12.58,"no_sperm_whale_sighting"
41.55,-10.06,"no_sperm_whale_sighting"
42.21,-14.06,"no_encounter"
37.01,-24.63,"no_sperm_whale_sighting"
40.61,-6,"no_encounter"
49.25,-40.2,"no_sperm_whale_sighting"
44.06,-1.45,"no_sperm_whale_sighting"
78.11,-36.05,"no_sperm_whale_sighting"
66.73,-34.45,"no_encounter"
34.85,-27.28,"no_encounter"
52.31,-0.13,"no_sperm_whale_sighting"
39.58,-26.23,"no_encounter"
55.98,-3.81,"no_encounter"
47.85,-25.3,"no_sperm_whale_sighting"
56.88,-21,"no_sperm_whale_sighting"
40.35,-36.86,"no_encounter"
77.65,-37.85,"no_sperm_whale_sighting"
38.83,-35.5,"no_sperm_whale_sighting"
34.33,-27.76,"no_encounter"
47.26,-6.38,"no_encounter"
52.66,-28.96,"no_sperm_whale_sighting"
64.58,-34.05,"no_sperm_whale_sighting"
72,-34.4,"no_sperm_whale_sighting"
59.31,-36.38,"no_sperm_whale_sighting"
59.28,-7.26,"no_encounter"
58,-37.13,"no_encounter"
44.36,-9.36,"no_encounter"
62.16,-34.03,"no_sperm_whale_sighting"
56.38,11.85,"no_encounter"
37.85,-37.35,"no_sperm_whale_sighting"
52.83,-35.23,"no_sperm_whale_sighting"
65.46,-35.41,"no_encounter"
40.75,-37.4,"no_encounter"
56,17.3,"no_encounter"
49.6,-27.78,"no_encounter"
44.33,-12.66,"no_encounter"
30.78,-37.66,"no_encounter"
57.98,-4.35,"no_sperm_whale_sighting"
35.15,-37.53,"no_sperm_whale_sighting"
56.5,-34.18,"no_encounter"
67.71,-35.68,"no_encounter"
43.73,-24.17,"no_encounter"
51.28,-5.45,"no_encounter"
26.3,-38.3,"no_sperm_whale_sighting"
42.88,-23.83,"no_encounter"
