"","name","value","type"
"1","I(depth^2)",2.37135891944597e-08,"Historical"
"2","I(slope^2)",0.000141858180032071,"Historical"
"3","I(di_1000m^2)",-4.47505762757501e-06,"Historical"
"4","I(di_seaM^2)",-7.04873781209238e-08,"Historical"
"5","I(di_spRid^2)",-1.49779985490941e-07,"Historical"
"6","depth",-0.000178743422513241,"Modern"
"7","slope",0.0901936568107239,"Modern"
"8","di_1000m",-0.00103831600127148,"Modern"
"9","di_seaM",-0.000755105717440113,"Modern"
"10","di_spRid",0.000617481075453758,"Modern"
