"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef","type","step"
"1","L","1","fc.L_rm.1",0.673256935504757,0.875,0.0475692979147451,0.0278565271269495,0.653690249742272,0.0447450163677913,0.73525,0.188807441590632,0.109050967145803,0.0864105152893715,0.0122950819672131,0.0245901639344262,1.98406742856917,0.00544862383628557,0,0,4757.17528654038,0,0.99999999517085,5,"Historical","1"
"2","L","1","fc.L_rm.1",0.673056370949181,0.817,0.0353263771733739,0.0163935995696713,0.640048251565986,0.011556268980909,0.763,0.176444514413644,0.127060298935299,0.0734570475228189,0.00337837837837838,0.00675675675675676,2.03797766530206,0.0845999868595455,0,0,4807.91443112968,0,0.9999999999184,5,"Historical","2"
"3","L","1","fc.L_rm.1",0.662089117073336,0.92,0.0227813437840846,0.0098163543309457,0.654720692845162,0.0218498554869171,0.74025,0.0911239997658868,0.104047102419933,0.0339446975116011,0.0036231884057971,0.0072463768115942,1.99045313676717,0.0149636854163147,0,0,4799.56532908924,0,0.999999991804766,5,"Historical","3"
"4","L","1","fc.L_rm.1",0.669604593025061,0.921,0.0311667580775282,0.0224276476983209,0.653102666359967,0.0276754673220712,0.7915,0.0514749129835755,0.11185045831785,0.0340212202770611,0.00480769230769231,0.00961538461538462,1.97438092411144,0.00747979003334444,0,0,4652.24400205643,0,0.999999994638111,4,"Historical","4"
"5","L","1","fc.L_rm.1",0.654003986205804,0.827,0.0555560806681447,0.0626366961751625,0.633325789678902,0.0667017664984314,0.669,0.17872324974664,0.113303998731477,0.0877864131380447,0.00347222222222222,0.00694444444444444,2.0008397379148,0.0456469189700278,0,0,4823.84348522121,0,0.999999968753813,5,"Historical","5"
"6","L","1","fc.L_rm.1",0.66350111502009,0.882,0.0174949962937379,0.00901265176349982,0.656644685664689,0.0149283270592088,0.744,0.102732662770903,0.128479301492511,0.0603890559597865,0.00961538461538462,0.0192307692307692,1.97695368880781,0.00722804367084592,0,0,4710.72539694034,0,0.999999999751018,5,"Historical","6"
"7","L","1","fc.L_rm.1",0.659241674347392,0.845,0.058647183892232,0.0569631265083003,0.648463334340243,0.0657358554861599,0.6525,0.175173247576982,0.124853103296655,0.0911782854848794,0,0,2.00105399991491,0.0446997456310175,0,0,4764.17117858377,0,0.999999999550828,4,"Historical","7"
"8","L","1","fc.L_rm.1",0.660280052675087,0.961,0.0169411009432286,0.0155526932423698,0.649448933081598,0.0151907265374809,0.719,0.186193447790195,0.112808322629751,0.0282777154024173,0.0113636363636364,0.0227272727272727,1.98522968582345,0.0143670852086822,0,0,4701.85242961728,0,0.999999350814823,4,"Historical","8"
"9","L","1","fc.L_rm.1",0.679226324041648,0.922,0.0351131273629124,0.0186482166863075,0.667786758581104,0.0333453408188253,0.774,0.142849571227918,0.14515170364227,0.0598281409729221,0.00384615384615385,0.00769230769230769,1.9790993238338,0.00449790725508768,0,0,4800.5971334193,0,0.999999999997709,4,"Historical","9"
"10","L","1","fc.L_rm.1",0.660938491262472,0.771,0.0241168174167581,0.0130783243940369,0.650836825231499,0.0233894791908804,0.63675,0.102255806681088,0.111331694840098,0.0384533989955386,0.00337837837837838,0.00675675675675676,2.05790440730131,0.0862914388563041,0,0,4728.46880314877,0,0.999999999821686,5,"Historical","10"
