x,y,species cloglog values
1.0,1.0,0.0382522
2.0,2.0,0.31643012
3.0,3.0,0.16218092
4.0,4.0,0.07310933
5.0,5.0,0.64505917
6.0,6.0,0.13432714
7.0,7.0,0.11910452
8.0,8.0,0.27316546
9.0,9.0,0.85659236
10.0,10.0,0.54415345
11.0,11.0,0.07120536
12.0,12.0,0.5064901
13.0,13.0,0.15222692
14.0,14.0,0.015238667
15.0,15.0,0.07990045
16.0,16.0,0.054181248
17.0,17.0,0.0865175
18.0,18.0,0.026029363
19.0,19.0,0.09222161
20.0,20.0,0.4441568
21.0,21.0,0.84147364
22.0,22.0,0.4988096
23.0,23.0,0.07832428
24.0,24.0,0.68797237
25.0,25.0,0.6349412
26.0,26.0,0.48913983
27.0,27.0,0.61519295
28.0,28.0,0.043706764
29.0,29.0,0.7326257
30.0,30.0,0.18944906
31.0,31.0,0.40231702
32.0,32.0,0.87787527
33.0,33.0,0.11393213
34.0,34.0,0.2671936
35.0,35.0,0.14164189
36.0,36.0,0.33577216
37.0,37.0,0.115199864
38.0,38.0,0.053489186
39.0,39.0,0.07703215
40.0,40.0,0.049575612
41.0,41.0,0.06263624
42.0,42.0,0.086517945
43.0,43.0,0.15427203
44.0,44.0,0.34804446
45.0,45.0,0.63066417
46.0,46.0,0.85189563
47.0,47.0,0.3992606
48.0,48.0,0.26718336
49.0,49.0,0.042191904
50.0,50.0,0.61076367
51.0,51.0,0.6177362
52.0,52.0,0.17401525
53.0,53.0,0.011739481
54.0,54.0,0.14265315
55.0,55.0,0.023755142
56.0,56.0,0.10735782
57.0,57.0,0.22305296
58.0,58.0,0.21452495
59.0,59.0,0.019722922
60.0,60.0,0.9205235
61.0,61.0,0.011303791
62.0,62.0,0.011629094
63.0,63.0,0.03713836
64.0,64.0,0.080744244
65.0,65.0,0.097002104
66.0,66.0,0.7862868
67.0,67.0,0.09639233
68.0,68.0,0.090020984
69.0,69.0,0.009108727
70.0,70.0,0.16982232
71.0,71.0,0.11359552
72.0,72.0,0.6453442
73.0,73.0,0.17404874
74.0,74.0,0.068081215
75.0,75.0,0.7430975
76.0,76.0,0.11729039
77.0,77.0,0.55567425
78.0,78.0,0.13355356
79.0,79.0,0.009178758
80.0,80.0,0.0527349
81.0,81.0,0.23383258
82.0,82.0,0.007978832
83.0,83.0,0.5222672
84.0,84.0,0.08172494
85.0,85.0,0.4184079
86.0,86.0,0.59356976
87.0,87.0,0.0046001635
88.0,88.0,0.021707337
89.0,89.0,0.46774653
90.0,90.0,0.41390797
91.0,91.0,0.32423854
92.0,92.0,0.16767287
93.0,93.0,0.33793664
94.0,94.0,0.52220863
95.0,95.0,0.16941726
96.0,96.0,0.118140824
97.0,97.0,0.8738206
98.0,98.0,0.32733384
99.0,99.0,0.082528345
100.0,100.0,0.39196303
101.0,101.0,0.19815633
102.0,102.0,0.055221707
103.0,103.0,0.21351567
104.0,104.0,0.05859369
105.0,105.0,0.7066541
106.0,106.0,0.6474123
107.0,107.0,0.32371986
108.0,108.0,0.2761416
109.0,109.0,0.04292291
110.0,110.0,0.028865986
111.0,111.0,0.42599258
112.0,112.0,0.04101344
113.0,113.0,0.011141923
114.0,114.0,0.8022594
115.0,115.0,0.10158903
116.0,116.0,0.09939557
117.0,117.0,0.10136528
118.0,118.0,0.11097538
119.0,119.0,0.7747902
120.0,120.0,0.0806435
121.0,121.0,0.0961066
122.0,122.0,0.061304305
123.0,123.0,0.330736
124.0,124.0,0.40927362
125.0,125.0,0.044569977
126.0,126.0,0.3960399
127.0,127.0,0.10104323
128.0,128.0,0.0533162
129.0,129.0,0.4562823
130.0,130.0,0.15157199
131.0,131.0,0.17700188
132.0,132.0,0.2789391
133.0,133.0,0.18794465
134.0,134.0,0.57399994
135.0,135.0,0.32536283
136.0,136.0,0.5520544
137.0,137.0,0.35920462
138.0,138.0,0.5578722
139.0,139.0,0.017813107
140.0,140.0,0.081385836
141.0,141.0,0.07202523
142.0,142.0,0.19204731
143.0,143.0,0.17483333
144.0,144.0,0.13882305
145.0,145.0,0.008734619
146.0,146.0,0.3155845
147.0,147.0,0.07873518
148.0,148.0,0.09409766
149.0,149.0,0.9212283
150.0,150.0,0.78120077
151.0,151.0,0.2741194
152.0,152.0,0.08670109
153.0,153.0,0.698607
154.0,154.0,0.07642003
155.0,155.0,0.16373675
156.0,156.0,0.10691945
157.0,157.0,0.13566363
158.0,158.0,0.24539822
159.0,159.0,0.03801745
160.0,160.0,0.8274898
161.0,161.0,0.23497753
162.0,162.0,0.026024237
163.0,163.0,0.44721505
164.0,164.0,0.16026996
165.0,165.0,0.109391995
166.0,166.0,0.5688007
167.0,167.0,0.40564638
168.0,168.0,0.36423257
169.0,169.0,0.34599882
170.0,170.0,0.06806143
171.0,171.0,0.119128026
172.0,172.0,0.46694356
173.0,173.0,0.0246453
174.0,174.0,0.04414447
175.0,175.0,0.052874357
176.0,176.0,0.6612525
177.0,177.0,0.09139275
178.0,178.0,0.7932089
179.0,179.0,0.052401137
180.0,180.0,0.01740118
181.0,181.0,0.7874173
182.0,182.0,0.112671524
183.0,183.0,0.011744142
