Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.43426E-7,0.000044343,0.00234498,1,0,0
4.86697E-7,0.000093012,0.002573519,0.999906385,0,0
5.83329E-7,0.000151345,0.003083689,0.999812769,0,0
8.03383E-7,0.000290579,0.004244504,0.999625538,0,0
8.50809E-7,0.000542228,0.004494505,0.999344692,0,0
9.02732E-7,0.001074042,0.004768142,0.998782999,0,0
9.98649E-7,0.00250454,0.005273428,0.997378768,0,0
1.10238E-6,0.005031132,0.005819581,0.995131998,0,0
1.34445E-6,0.010069085,0.007092951,0.991293765,0,0
1.67727E-6,0.025058825,0.008841063,0.982119453,0,0
2.13585E-6,0.050142271,0.011244611,0.969855832,0,0
2.91563E-6,0.1001758,0.015318341,0.951226362,0.001466276,0
4.39812E-6,0.200084051,0.023016983,0.925107658,0.001466276,0
5.50966E-6,0.300361928,0.028749696,0.906197341,0.001466276,0
6.49065E-6,0.400422361,0.033781196,0.890563565,0.002932551,0
7.30816E-6,0.500347319,0.037954257,0.877082943,0.002932551,0
7.91421E-6,0.600000326,0.041036315,0.864819322,0.002932551,0
8.47991E-6,0.700818782,0.043904235,0.853304625,0.004398827,0
8.8044E-6,0.750061882,0.045545378,0.847968545,0.004398827,0
9.08397E-6,0.800250198,0.046957147,0.842726081,0.005865103,0
9.56176E-6,0.900914329,0.049364957,0.832615615,0.007331378,0
1.00058E-5,1.000666704,0.051597522,0.823066841,0.01026393,0
1.05561E-5,1.100362269,0.054356314,0.813986145,0.01026393,0
1.10326E-5,1.20077393,0.05673901,0.80527991,0.01026393,0
1.14734E-5,1.300057679,0.058938262,0.797041752,0.01026393,0
1.18556E-5,1.400176264,0.06084058,0.788990826,0.01026393,0
1.2302E-5,1.500349859,0.06305739,0.781220745,0.01026393,0
1.35055E-5,1.750976731,0.069008438,0.763059352,0.01026393,0
1.466E-5,2.001023025,0.074682195,0.746489421,0.011730205,0
1.55834E-5,2.250658461,0.07919471,0.731042876,0.016129032,0
1.63348E-5,2.50108723,0.082850667,0.716345254,0.017595308,0
1.74172E-5,2.751084102,0.088091642,0.70249017,0.020527859,0
1.82634E-5,3.001162884,0.092168179,0.68938401,0.021994135,0
1.92331E-5,3.250475767,0.096817283,0.676933159,0.023460411,0
2.02746E-5,3.501764556,0.10178401,0.665043999,0.029325513,0
2.13198E-5,3.751334528,0.106740779,0.653810148,0.030791789,0
2.21432E-5,4.001093533,0.110626391,0.643044374,0.030791789,0
2.30016E-5,4.251772512,0.114659163,0.632653061,0.032258065,0
2.38793E-5,4.500060935,0.118764053,0.622729826,0.036656891,0
2.47562E-5,4.750453827,0.122845754,0.613087437,0.038123167,0
2.55518E-5,5.002133124,0.126533038,0.603725894,0.038123167,0
2.64877E-5,5.252150738,0.130850411,0.594738813,0.041055718,0
2.73735E-5,5.502732257,0.134917302,0.586032578,0.042521994,0
2.85303E-5,5.751252441,0.140199271,0.577700805,0.04398827,0
2.97232E-5,6.001986244,0.145612379,0.569649878,0.048387097,0
3.06019E-5,6.252363587,0.149578095,0.561879798,0.048387097,0
3.1497E-5,6.501149549,0.153598912,0.554390564,0.051319648,0
3.24051E-5,6.75044448,0.157658782,0.54708856,0.052785924,0
3.3347E-5,7.000135611,0.161849066,0.539973788,0.055718475,0
