X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.964101496418333E-4,97.09287744056653,0.99488474194366
2.0,2.0,train,4.489556919077288E-4,79.77274039422618,0.9071723918609075
3.0,3.0,train,0.001520905207765537,99.80017871114403,0.9996816898562855
4.0,4.0,train,3.9309233325391074E-4,75.36214551682245,0.8752246962644403
5.0,5.0,train,8.733375967051741E-5,19.258428126708395,0.37022430407937457
6.0,6.0,train,0.001190534189256331,98.60280069033999,0.9981697885288137
7.0,7.0,train,2.1052005816209017E-4,50.87196920208035,0.6719553686721371
8.0,8.0,train,3.409276381202605E-5,7.167036174313671,0.16515174205760907
9.0,9.0,train,5.765194076792569E-4,86.44788872335373,0.9527546770033917
10.0,10.0,train,1.7905436411319407E-4,42.92232050733686,0.6124883713782898
11.0,11.0,train,2.5605219760407773E-4,59.61925560405168,0.7422272947535181
12.0,12.0,train,4.0458167389819907E-4,76.53641372483854,0.8825886190004143
13.0,13.0,train,1.972362386791922E-4,47.64535851665429,0.6480527507272792
14.0,14.0,train,1.9898298667322161E-4,48.20813475023511,0.6512926304977096
15.0,15.0,train,4.341987712816838E-4,78.5730691683569,0.8996288198999599
16.0,16.0,train,1.0843216310128391E-4,24.681822928410494,0.4367872161711994
17.0,17.0,train,2.8528564188664847E-4,64.5687471486881,0.779190410518177
18.0,18.0,train,0.0019981235380872606,100.0,0.9999745586063242
19.0,19.0,train,1.2304082696895817E-4,28.729362043423077,0.47870743180110353
20.0,20.0,train,5.859193255522933E-4,86.80989284319404,0.9550484393534473
21.0,21.0,train,1.0381647302060287E-4,23.565646928075296,0.42285390543454116
22.0,22.0,train,6.136493778301699E-4,87.96381155512188,0.9611865135593883
23.0,23.0,train,9.045231759399334E-4,95.5471435484355,0.9916794649903635
24.0,24.0,train,1.0859028963748647E-4,24.7188680347285,0.43725854414898435
25.0,25.0,train,0.0011136099975504834,97.79028016411314,0.9972497020046626
26.0,26.0,train,3.414732783218904E-4,70.65542768139377,0.8360086976826668
27.0,27.0,train,3.527980932672725E-4,71.70938728077405,0.8455525708817365
28.0,28.0,train,3.4356629654758056E-4,70.82034115214795,0.8378159444662372
29.0,29.0,train,4.5446332978216946E-4,80.29166004629296,0.9098401937313311
30.0,30.0,train,1.0810843157548436E-4,24.605980700535646,0.4358210374110598
31.0,31.0,train,1.1336498791424763E-4,26.159083536238867,0.4513062275342117
32.0,32.0,train,5.859561147033598E-4,86.81269866080653,0.9550571942292168
33.0,33.0,train,5.800928990146086E-4,86.58003737613357,0.9536401541493573
34.0,34.0,train,0.0012331955313435398,98.84927569343165,0.9985398201816272
35.0,35.0,train,1.232112696250612E-4,28.79170706494797,0.47917764154832854
36.0,36.0,train,1.7144975977283062E-4,41.226924962133445,0.5965676990665554
37.0,37.0,train,7.166454160872489E-4,91.20288297697167,0.9775014301049613
38.0,38.0,train,9.039752570573734E-4,95.51405728738938,0.9916552922797097
39.0,39.0,train,2.0491078376407614E-4,49.726857883537065,0.662066826516787
40.0,40.0,train,1.4996367033893673E-4,35.59337664530751,0.5479614221612714
41.0,41.0,train,1.392705705546422E-4,32.98312453008924,0.5216309499068278
42.0,42.0,train,3.1944748829617405E-4,69.01249333863859,0.8157249116980384
43.0,43.0,train,1.9153620069090366E-4,45.88940570027175,0.6372694219865397
44.0,44.0,train,1.3025945449083952E-4,30.67225567288806,0.4982549277845505
45.0,45.0,train,3.5341921898074483E-4,71.78298714646265,0.8460596480151183
46.0,46.0,train,2.7188132082106364E-4,62.325543605078316,0.7629501686461422
47.0,47.0,train,1.9934323428706904E-4,48.296570420517384,0.6519571012551535
48.0,48.0,train,7.844392288758266E-4,92.67755816602312,0.9842865803950601
49.0,49.0,train,3.944315665180598E-4,75.53059741124088,0.876106300785064
50.0,50.0,train,1.3124497530651126E-4,30.973766483510826,0.5008661516486611
51.0,51.0,train,8.235065420113371E-4,93.70674026344014,0.9872226779989638
52.0,52.0,train,1.3962321987680642E-4,33.07693490127691,0.5225232860709834
53.0,53.0,train,0.0012855180663578828,99.10212150293553,0.9988931300689476
54.0,54.0,train,8.950457776649875E-5,19.789516989772405,0.3774211745703049
55.0,55.0,train,1.951348463337164E-4,46.84600505224443,0.6441151592082256
56.0,56.0,train,1.3017944645679052E-4,30.651897255883885,0.4980423409106409
57.0,57.0,train,1.6021404549157147E-4,38.37542860401715,0.5718401678467357
58.0,58.0,train,9.229743106320568E-5,20.371736257087363,0.3865594289584865
59.0,59.0,train,1.7735936456410195E-4,42.441452419024614,0.608995100554821
60.0,60.0,train,2.7582643866580817E-4,62.946879283034725,0.7678502082794054
61.0,61.0,train,1.5090611335141297E-4,35.93713917745131,0.5502113846181581
62.0,62.0,train,4.4948148031578026E-4,79.83901989235959,0.9074304464310717
63.0,63.0,train,1.0951287360961198E-4,25.113234593751255,0.44000063791231747
64.0,64.0,train,8.81942127760219E-4,94.56480065187233,0.990622786182758
65.0,65.0,train,7.006031402377907E-4,91.02255916734819,0.9755069813929435
66.0,66.0,train,3.512753229730724E-4,71.52838250401909,0.8443023270580963
67.0,67.0,train,2.28005806405555E-4,54.33097428455269,0.7009619623859568
68.0,68.0,train,0.00115858685144623,98.22820741941773,0.9978324927274898
69.0,69.0,train,5.774019595955114E-4,86.48087735551238,0.9529749253000599
70.0,70.0,train,1.2039698337192832E-4,28.04947882740911,0.4713591095846602
71.0,71.0,train,6.659619539580371E-4,90.00303644408228,0.9705764003597004
72.0,72.0,train,2.8469470425763213E-4,64.50104205762729,0.7784984729789841
73.0,73.0,train,6.184267642834533E-4,88.18528431853831,0.9621559510680939
74.0,74.0,train,6.659485030290057E-4,90.0019601963876,0.9705743048422043
75.0,75.0,train,7.851510194378464E-4,92.75357114947131,0.9843456865342118
76.0,76.0,train,1.4403295784759754E-4,34.15794135001162,0.5335420464926611
77.0,77.0,train,2.4426477719761476E-4,57.493271132638824,0.7256273805586704
78.0,78.0,train,2.5870668262008956E-4,60.003311946153865,0.7458247606084267
79.0,79.0,train,2.5315602394621224E-4,59.26012108116695,0.7382441761544911
80.0,80.0,train,2.1760877869543224E-4,52.45131303547176,0.6840391864122046
81.0,81.0,train,2.834260293649431E-4,64.35641524167845,0.7770056297034406
82.0,82.0,train,2.4279038554480726E-4,57.23858887394433,0.7234771868991197
83.0,83.0,train,3.6042294831505376E-4,72.47967874922237,0.8516634439532944
84.0,84.0,train,1.7135129104172867E-4,41.20690042464572,0.5963573163952278
85.0,85.0,train,2.4599571298938335E-4,57.862575552829675,0.7281303811071541
86.0,86.0,train,1.5880284783890877E-4,37.99572383556679,0.5686291333997242
87.0,87.0,train,6.699902758089282E-5,14.764463239462728,0.2986362538737731
88.0,88.0,train,4.3166825521018297E-4,78.34911954105021,0.8982750076515494
89.0,89.0,train,8.116085346258222E-4,93.49789940794238,0.9863918852755861
90.0,90.0,train,0.0010745352537125633,97.56876137707599,0.9966175786521733
91.0,91.0,train,2.9556689575137003E-4,66.29523222028635,0.7908887732559409
92.0,92.0,train,8.861696480086015E-4,94.83556717069636,0.9908303425071895
93.0,93.0,train,1.547076924202374E-4,37.10292527734685,0.5591740443694452
94.0,94.0,train,2.874011932651542E-4,64.84344560621169,0.7816498678067286
95.0,95.0,train,7.501061320704238E-4,91.91655854971236,0.9811541477849778
96.0,96.0,train,4.661468983130374E-5,10.195527744045558,0.2187054541745096
97.0,97.0,train,2.686866918414802E-4,61.648910517775604,0.7589065904939674
98.0,98.0,train,2.1298679467363356E-4,51.40406342345184,0.6762118480657819
